Player,Age,Team,Pos,PosH,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,AST/G,TOV/AST,MPPG,FP,FPPG,FPPM
Chuma Okeke,26,PHI,PF,F,7,3,171,18,33,0.55,10,22,0.455,8,11,0.727,2,3,20,23,13,5,3,3,1.86,0.23,24,129,18.4,0.75
Jericho Sims,26,MIL,C,C,14,0,210,17,25,0.68,0,0,,17,25,0.68,0,0,20,48,11,2,9,12,0.79,1.09,15,128,9.1,0.61
Tony Bradley,27,IND,C,C,14,0,113,29,45,0.64,1,3,0.333,28,42,0.667,2,6,18,24,6,2,9,5,0.43,0.83,8,126,9.0,1.12
Dario Šarić,30,DEN,C,C,16,4,210,21,58,0.36,7,26,0.269,14,32,0.438,7,10,14,36,23,7,1,15,1.44,0.65,13,125,7.8,0.60
Dariq Whitehead,20,BRK,SF,F,20,0,246,39,96,0.41,33,74,0.446,6,22,0.273,3,5,4,25,12,6,1,15,0.60,1.25,12,123.5,6.2,0.50
Trey Jemison,25,LAL,C,C,22,0,226,26,42,0.62,0,0,,26,42,0.619,5,12,22,39,6,2,9,14,0.27,2.33,10,123.5,5.6,0.55
Killian Hayes,23,BRK,PG,G,6,5,162,18,43,0.42,8,21,0.381,10,22,0.455,10,12,5,13,31,4,4,9,5.17,0.29,27,121,20.2,0.75
Moses Brown,25,2TM,C,C,13,2,119,34,49,0.69,0,0,,34,49,0.694,8,11,12,32,2,6,4,11,0.15,5.50,9,119,9.2,1.00
Javonte Green,31,CLE,SG,G,18,1,166,23,63,0.37,8,33,0.242,15,30,0.5,5,10,10,30,11,10,1,4,0.61,0.36,9,117.5,6.5,0.71
Lester Quiñones,24,2TM,SG,G,13,0,183,31,78,0.40,13,44,0.295,18,34,0.529,11,13,4,15,24,3,2,14,1.85,0.58,14,112.5,8.7,0.61
Markelle Fultz,26,SAC,PG,G,21,0,184,28,67,0.42,4,8,0.5,24,59,0.407,1,1,6,14,27,10,2,15,1.29,0.56,9,112.5,5.4,0.61
Patty Mills,36,UTA,PG,G,17,0,260,26,76,0.34,17,57,0.298,9,19,0.474,5,5,3,18,21,12,3,16,1.24,0.76,15,111.5,6.6,0.43
Drew Peterson,25,BOS,PF,F,25,1,186,17,41,0.42,13,33,0.394,4,8,0.5,7,9,9,31,13,5,2,8,0.52,0.62,7,109.5,4.4,0.59
Ariel Hukporti,22,NYK,C,C,25,1,217,21,31,0.68,0,0,,21,31,0.677,6,13,14,37,11,1,15,21,0.44,1.91,9,109.5,4.4,0.50
MarJon Beauchamp,24,3TM,SF,F,35,0,156,27,65,0.42,10,29,0.345,17,36,0.472,15,20,11,33,11,4,1,15,0.31,1.36,4,109,3.1,0.70
Lamar Stevens,27,MEM,PF,F,17,1,155,29,63,0.46,8,27,0.296,21,36,0.583,8,11,4,34,8,5,3,10,0.47,1.25,9,107.5,6.3,0.69
Jordan McLaughlin,28,SAC,PG,G,28,0,190,16,44,0.36,10,26,0.385,6,18,0.333,11,16,4,17,24,11,0,11,0.86,0.46,7,107.5,3.8,0.57
Lester Quiñones,24,NOP,SG,G,9,0,166,27,70,0.39,13,41,0.317,14,29,0.483,10,12,1,14,23,3,2,10,2.56,0.43,18,106,11.8,0.64
JT Thor,22,WAS,PF,F,11,0,207,16,44,0.36,3,15,0.2,13,29,0.448,8,14,17,25,5,6,6,3,0.45,0.60,19,104.5,9.5,0.50
Jordan McLaughlin,28,SAS,PG,G,18,0,124,15,28,0.54,9,20,0.45,6,8,0.75,6,6,2,7,27,5,1,5,1.50,0.19,7,104.5,5.8,0.84
Trey Jemison,25,NOP,C,C,16,0,166,15,32,0.47,0,0,,15,32,0.469,8,21,22,22,10,7,6,10,0.63,1.00,10,104,6.5,0.63
De'Anthony Melton,26,GSW,SG,G,6,2,121,22,54,0.41,13,35,0.371,9,19,0.474,5,8,6,14,17,7,2,10,2.83,0.59,20,99.5,16.6,0.82
Bronny James,20,LAL,SG,G,27,1,181,21,67,0.31,9,32,0.281,12,35,0.343,11,14,4,14,22,9,3,13,0.81,0.59,7,99.5,3.7,0.55
Markieff Morris,35,2TM,PF,F,15,2,165,21,70,0.30,9,36,0.25,12,34,0.353,5,6,3,20,21,2,3,5,1.40,0.24,11,97.5,6.5,0.59
Adam Flagler,25,OKC,SG,G,37,0,203,25,96,0.26,14,72,0.194,11,24,0.458,1,2,7,20,12,8,3,4,0.32,0.33,5,97.5,2.6,0.48
Torrey Craig,34,CHI,SF,F,9,1,113,22,45,0.49,15,35,0.429,7,10,0.7,3,4,8,17,5,2,1,0,0.56,0.00,13,95,10.6,0.84
Jaden Springer,22,BOS,SG,G,26,0,141,12,34,0.35,6,19,0.316,6,15,0.4,15,21,4,20,10,12,1,4,0.38,0.40,5,95,3.7,0.67
Jaylen Nowell,25,NOP,SG,G,8,0,168,26,73,0.36,8,27,0.296,18,46,0.391,7,11,6,14,18,1,4,8,2.25,0.44,21,94.5,11.8,0.56
Damion Lee,32,PHO,SG,G,25,0,144,27,74,0.37,9,37,0.243,18,37,0.486,20,21,3,17,11,6,0,10,0.44,0.91,6,94.5,3.8,0.66
Thomas Bryant,27,MIA,C,C,10,0,115,12,28,0.43,6,17,0.353,6,11,0.545,11,11,6,26,4,1,9,2,0.40,0.50,12,92,9.2,0.80
Colin Castleton,24,PHI,C,C,5,0,98,12,24,0.50,0,4,0,12,20,0.6,6,9,16,21,10,1,1,1,2.00,0.10,20,89.5,17.9,0.91
Kobe Bufkin,21,ATL,SG,G,10,0,124,18,47,0.38,4,19,0.211,14,28,0.5,13,18,5,16,17,3,2,8,1.70,0.47,12,87.5,8.8,0.71
Tyler Smith,20,MIL,PF,F,23,0,122,24,50,0.48,13,30,0.433,11,20,0.55,6,8,6,19,4,3,4,8,0.17,2.00,5,87,3.8,0.71
Enrique Freeman,24,IND,PF,F,22,1,181,16,37,0.43,1,10,0.1,15,27,0.556,13,19,11,19,9,3,3,6,0.41,0.67,8,86,3.9,0.48
Moses Brown,25,DAL,C,C,4,2,73,21,29,0.72,0,0,,21,29,0.724,5,6,8,23,2,4,3,5,0.50,2.50,18,85.5,21.4,1.17
Keshad Johnson,23,MIA,SF,F,16,0,98,18,26,0.69,3,7,0.429,15,19,0.789,4,9,6,22,4,5,4,4,0.25,1.00,6,85.5,5.3,0.87
Kylor Kelley,27,2TM,C,C,11,2,126,14,22,0.64,0,0,,14,22,0.636,6,10,12,27,5,1,3,4,0.45,0.80,11,83,7.5,0.66
Isaiah Jackson,23,IND,C,C,5,1,84,14,23,0.61,0,0,,14,23,0.609,7,14,11,17,5,3,8,5,1.00,1.00,17,82.5,16.5,0.98
Marvin Bagley III,25,MEM,PF,F,12,1,99,17,35,0.49,1,9,0.111,16,26,0.615,8,12,11,17,4,2,3,1,0.33,0.25,8,81.5,6.8,0.82
Xavier Tillman Sr.,26,BOS,C,C,33,2,231,13,53,0.25,5,32,0.156,8,21,0.381,3,4,10,33,7,11,5,14,0.21,2.00,7,79.5,2.4,0.34
Markieff Morris,35,LAL,PF,F,8,2,124,16,48,0.33,7,23,0.304,9,25,0.36,5,6,3,12,17,1,2,3,2.13,0.18,16,78,9.8,0.63
Cole Swider,25,2TM,SF,F,10,0,169,22,63,0.35,15,47,0.319,7,16,0.438,0,1,5,22,3,4,2,4,0.30,1.33,17,77.5,7.8,0.46
Patrick Baldwin Jr.,22,2TM,SF,F,24,0,107,19,35,0.54,13,23,0.565,6,12,0.5,2,4,5,20,3,3,2,5,0.13,1.67,4,77.5,3.2,0.72
Cole Swider,25,TOR,SF,F,8,0,156,22,58,0.38,15,42,0.357,7,16,0.438,0,1,5,20,2,4,2,4,0.25,2.00,20,76,9.5,0.49
Elijah Harkless,24,UTA,SG,G,10,0,138,11,35,0.31,7,25,0.28,4,10,0.4,3,6,9,12,8,10,1,3,0.80,0.38,14,76,7.6,0.55
Jeenathan Williams,25,HOU,SG,G,20,0,147,27,62,0.44,6,26,0.231,21,36,0.583,5,8,5,8,9,8,4,14,0.45,1.56,7,75.5,3.8,0.51
Lindy Waters III,27,DET,SG,G,14,0,123,16,44,0.36,15,38,0.395,1,6,0.167,0,0,4,10,10,5,1,3,0.71,0.30,9,75,5.4,0.61
Pete Nance,24,2TM,C,C,13,1,138,14,32,0.44,9,24,0.375,5,8,0.625,1,2,5,16,10,2,2,4,0.77,0.40,11,72,5.5,0.52
Colby Jones,22,SAC,SG,G,24,0,130,11,26,0.42,4,10,0.4,7,16,0.438,0,0,8,15,7,6,7,7,0.29,1.00,5,71.5,3.0,0.55
Oshae Brissett,26,PHI,SF,F,6,2,142,19,39,0.49,6,18,0.333,13,21,0.619,8,14,7,15,4,4,3,8,0.67,2.00,24,70.5,11.8,0.50
Kevin Knox,25,GSW,SF,F,14,0,84,18,36,0.50,4,15,0.267,14,21,0.667,6,8,7,10,5,2,4,4,0.36,0.80,6,70.5,5.0,0.84
Alex Ducas,24,OKC,SG,G,21,0,125,12,30,0.40,10,21,0.476,2,9,0.222,2,2,9,17,5,5,0,4,0.24,0.80,6,69.5,3.3,0.56
Yuki Kawamura,23,MEM,PG,G,22,0,93,11,30,0.37,7,23,0.304,4,7,0.571,7,9,0,12,19,2,0,5,0.86,0.26,4,69.5,3.2,0.75
MarJon Beauchamp,24,MIL,SF,F,26,0,122,18,47,0.38,7,21,0.333,11,26,0.423,9,12,7,25,8,3,1,13,0.31,1.63,5,69.5,2.7,0.57
RayJ Dennis,23,IND,PG,G,11,0,70,11,33,0.33,6,21,0.286,5,12,0.417,2,2,2,10,14,7,2,5,1.27,0.36,6,68,6.2,0.97
Chris Livingston,21,MIL,SF,F,21,1,106,9,27,0.33,0,8,0,9,19,0.474,12,16,10,25,5,5,0,6,0.24,1.20,5,67,3.2,0.63
Chris Duarte,27,CHI,SG,G,17,0,74,12,26,0.46,6,15,0.4,6,11,0.545,6,8,5,15,9,0,0,1,0.53,0.11,4,66.5,3.9,0.90
Patrick Baldwin Jr.,22,WAS,SF,F,22,0,101,17,33,0.52,11,21,0.524,6,12,0.5,2,4,5,17,2,3,2,5,0.09,2.50,5,66.5,3.0,0.66
TyTy Washington Jr.,23,PHO,PG,G,16,0,118,14,45,0.31,4,21,0.19,10,24,0.417,3,6,4,9,16,3,0,3,1.00,0.19,7,65,4.1,0.55
PJ Hall,22,DEN,C,C,19,0,66,14,24,0.58,2,8,0.25,12,16,0.75,3,4,6,16,4,0,4,2,0.21,0.50,3,64.5,3.4,0.98
Tyson Etienne,25,BRK,PG,G,7,0,151,17,52,0.33,13,44,0.295,4,8,0.5,8,10,3,6,12,3,1,8,1.71,0.67,22,63,9.0,0.42
Josh Richardson,31,MIA,SG,G,8,0,150,11,38,0.29,6,22,0.273,5,16,0.313,4,4,6,6,12,8,1,8,1.50,0.67,19,59.5,7.4,0.40
Sidy Cissoko,20,2TM,SF,F,22,0,114,13,30,0.43,3,13,0.231,10,17,0.588,3,9,8,13,15,2,1,11,0.68,0.73,5,59.5,2.7,0.52
N'Faly Dante,23,HOU,C,C,4,0,51,10,13,0.77,0,0,,10,13,0.769,4,5,6,15,2,1,5,2,0.50,1.00,13,58,14.5,1.14
Alex Len,31,LAL,C,C,10,4,122,10,22,0.46,1,3,0.333,9,19,0.474,1,4,13,18,8,1,3,9,0.80,1.13,12,58,5.8,0.48
Vlatko Čančar,27,DEN,PF,F,13,0,136,10,26,0.39,4,15,0.267,6,11,0.545,0,0,6,26,9,3,2,11,0.69,1.22,10,57,4.4,0.42
Jaylen Sims,26,CHO,SG,G,6,0,112,12,28,0.43,6,15,0.4,6,13,0.462,12,15,3,3,12,3,1,8,2.00,0.67,19,56,9.3,0.50
Spencer Jones,23,DEN,SF,F,20,0,125,11,34,0.32,1,17,0.059,10,17,0.588,3,3,8,9,5,5,5,5,0.25,1.00,6,55.5,2.8,0.44
Elfrid Payton,30,CHO,PG,G,6,2,123,3,21,0.14,0,0,,3,21,0.143,0,0,1,12,20,6,3,7,3.33,0.35,21,54.5,9.1,0.44
Nae'Qwan Tomlin,24,CLE,PF,F,5,1,63,13,32,0.41,2,10,0.2,11,22,0.5,8,11,9,12,2,0,1,2,0.40,1.00,13,52.5,10.5,0.83
Kylor Kelley,27,DAL,C,C,8,1,67,10,13,0.77,0,0,,10,13,0.769,4,6,8,13,2,0,2,1,0.25,0.50,8,52.5,6.6,0.78
Joe Ingles,37,MIN,SF,F,19,1,114,6,23,0.26,3,15,0.2,3,8,0.375,0,0,2,9,23,2,0,9,1.21,0.39,6,50.5,2.7,0.44
Marcus Garrett,26,CHO,SG,G,4,0,79,11,27,0.41,3,8,0.375,8,19,0.421,3,4,1,5,13,3,2,6,3.25,0.46,20,50,12.5,0.63
Mason Jones,26,SAC,SG,G,10,0,45,9,18,0.50,1,8,0.125,8,10,0.8,4,5,2,7,11,0,1,1,1.10,0.09,5,50,5.0,1.11
Pacome Dadiet,19,NYK,SG,G,18,0,111,10,31,0.32,6,19,0.316,4,12,0.333,4,6,3,15,5,3,2,4,0.28,0.80,6,50,2.8,0.45
Jae Crowder,34,SAC,PF,F,9,2,103,7,22,0.32,4,15,0.267,3,7,0.429,5,6,6,14,6,3,0,4,0.67,0.67,11,48,5.3,0.47
Trey Alexander,21,DEN,SG,G,24,0,117,13,41,0.32,3,17,0.176,10,24,0.417,3,4,1,11,11,2,1,5,0.46,0.45,5,48,2.0,0.41
Daeqwon Plowden,26,ATL,SG,G,6,0,72,16,25,0.64,9,17,0.529,7,8,0.875,2,2,4,7,2,0,0,4,0.33,2.00,12,47.5,7.9,0.66
Emoni Bates,21,CLE,SF,F,10,0,75,13,38,0.34,11,30,0.367,2,8,0.25,0,0,0,7,8,1,1,2,0.80,0.25,8,47.5,4.8,0.63
JD Davison,22,BOS,PG,G,16,0,93,12,34,0.35,4,18,0.222,8,16,0.5,5,7,2,11,13,5,1,13,0.81,1.00,6,47,2.9,0.51
Orlando Robinson,24,SAC,C,C,9,0,57,7,17,0.41,1,5,0.2,6,12,0.5,4,7,3,11,9,3,1,4,1.00,0.44,6,46,5.1,0.81
