Player,Age,Team,Pos,PosH,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,AST/G,TOV/AST,MPPG,FP,FPPG,FPPM
Josh Christopher,23,MIA,SG,G,14,0,69,11,31,0.36,2,11,0.182,9,20,0.45,4,6,0,9,8,5,3,6,0.57,0.75,5,46,3.3,0.67
Mo Bamba,26,NOP,C,C,4,0,61,4,9,0.44,0,4,0,4,5,0.8,2,2,6,19,2,0,3,1,0.50,0.50,15,43.5,10.9,0.71
Pete Nance,24,MIL,PF,F,6,1,70,9,17,0.53,5,12,0.417,4,5,0.8,0,0,3,8,7,1,2,4,1.17,0.57,12,43.5,7.3,0.62
Patty Mills,36,LAC,PG,G,12,0,61,10,20,0.50,9,18,0.5,1,2,0.5,8,9,1,0,5,1,0,1,0.42,0.20,5,43,3.6,0.70
Jacob Toppin,24,2TM,SF,F,17,0,76,9,22,0.41,5,10,0.5,4,12,0.333,0,0,3,12,6,2,0,3,0.35,0.50,4,43,2.5,0.57
Jackson Rowe,28,GSW,PF,F,6,0,52,8,17,0.47,3,10,0.3,5,7,0.714,3,6,3,8,4,4,0,1,0.67,0.25,9,42.5,7.1,0.82
Stanley Umude,25,MIL,SG,G,22,0,86,5,26,0.19,3,15,0.2,2,11,0.182,2,4,4,13,4,3,6,3,0.18,0.75,4,42.5,1.9,0.49
Taylor Hendricks,21,UTA,PF,F,3,3,75,4,18,0.22,3,12,0.25,1,6,0.167,3,4,5,10,2,5,4,2,0.67,1.00,25,42,14.0,0.56
Cam Christie,19,LAC,SG,G,13,0,59,7,24,0.29,2,13,0.154,5,11,0.455,2,4,3,9,6,5,1,2,0.46,0.33,5,42,3.2,0.71
Justin Minaya,25,POR,SF,F,19,0,101,8,21,0.38,2,10,0.2,6,11,0.545,0,2,5,5,7,6,1,5,0.37,0.71,5,41,2.2,0.41
Bobi Klintman,21,DET,SF,F,8,0,42,6,10,0.60,2,5,0.4,4,5,0.8,1,2,1,6,7,2,1,1,0.88,0.14,5,38,4.8,0.90
Sidy Cissoko,20,SAS,SF,F,17,0,54,9,18,0.50,3,7,0.429,6,11,0.545,1,6,3,7,6,1,0,2,0.35,0.33,3,36.5,2.1,0.68
Jamaree Bouyea,25,MIL,PG,G,5,1,62,6,12,0.50,1,5,0.2,5,7,0.714,4,6,1,4,10,4,2,8,2.00,0.80,12,34.5,6.9,0.56
E.J. Liddell,24,CHI,PF,F,12,0,53,8,15,0.53,3,10,0.3,5,5,1,2,2,3,6,3,1,1,2,0.25,0.67,4,34,2.8,0.64
Moses Brown,25,IND,C,C,9,0,46,13,20,0.65,0,0,,13,20,0.65,3,5,4,9,0,2,1,6,0.00,#DIV/0!,5,33.5,3.7,0.73
Luke Travers,23,CLE,SG,G,12,0,88,5,20,0.25,0,9,0,5,11,0.455,2,2,8,12,8,1,1,8,0.67,1.00,7,32.5,2.7,0.37
Malachi Flynn,26,CHO,PG,G,4,0,44,5,13,0.39,1,4,0.25,4,9,0.444,5,6,3,4,7,3,0,4,1.75,0.57,11,32,8.0,0.73
JT Thor,22,CLE,PF,F,9,0,42,9,15,0.60,3,6,0.5,6,9,0.667,7,8,3,3,1,2,3,6,0.11,6.00,5,32,3.6,0.76
David Roddy,23,PHI,PF,F,3,0,29,8,19,0.42,2,11,0.182,6,8,0.75,0,0,2,7,3,2,0,1,1.00,0.33,10,30.5,10.2,1.05
Kylor Kelley,27,NOP,C,C,3,1,59,4,9,0.44,0,0,,4,9,0.444,2,4,4,14,3,1,1,3,1.00,1.00,20,30.5,10.2,0.52
Leonard Miller,21,MIN,SF,F,13,0,32,6,15,0.40,0,5,0,6,10,0.6,8,8,3,8,0,2,1,2,0.00,#DIV/0!,2,30,2.3,0.94
Jazian Gortman,21,DAL,PG,G,16,0,57,9,23,0.39,4,11,0.364,5,12,0.417,2,4,1,4,6,2,1,5,0.38,0.83,4,29.5,1.8,0.52
Matt Ryan,27,NYK,SF,F,19,0,68,10,31,0.32,6,19,0.316,4,12,0.333,2,2,0,8,3,2,0,3,0.16,1.00,4,29.5,1.6,0.43
AJ Johnson,20,MIL,SG,G,7,0,44,8,19,0.42,3,5,0.6,5,14,0.357,1,2,0,7,7,1,0,4,1.00,0.57,6,29,4.1,0.66
Armel Traoré,22,LAL,SF,F,9,0,67,6,19,0.32,0,7,0,6,12,0.5,2,7,2,13,1,4,2,3,0.11,3.00,7,29,3.2,0.43
Pete Nance,24,PHI,C,C,7,0,68,5,15,0.33,4,12,0.333,1,3,0.333,1,2,2,8,3,1,0,0,0.43,0.00,10,28.5,4.1,0.42
MarJon Beauchamp,24,NYK,SF,F,6,0,17,5,11,0.46,1,5,0.2,4,6,0.667,4,4,2,7,1,1,0,1,0.17,1.00,3,24,4.0,1.41
Jahmir Young,24,CHI,PG,G,6,0,30,4,5,0.80,1,2,0.5,3,3,1,2,2,1,2,6,0,0,1,1.00,0.17,5,24,4.0,0.80
Emanuel Miller,24,CHI,PF,F,6,0,25,4,8,0.50,0,1,0,4,7,0.571,2,2,4,4,2,1,0,0,0.33,0.00,4,24,4.0,0.96
Isaiah Crawford,23,SAC,SF,F,15,0,46,5,11,0.46,1,5,0.2,4,6,0.667,2,4,1,7,1,1,2,1,0.07,1.00,3,23.5,1.6,0.51
Sidy Cissoko,20,POR,SF,F,5,0,60,4,12,0.33,0,6,0,4,6,0.667,2,3,5,6,9,1,1,9,1.80,1.00,12,23,4.6,0.38
Harrison Ingram,22,SAS,SF,F,5,0,35,2,4,0.50,0,1,0,2,3,0.667,0,0,2,7,3,3,0,1,0.60,0.33,7,23,4.6,0.66
David Duke Jr.,25,SAS,SG,G,6,0,34,6,14,0.43,3,6,0.5,3,8,0.375,1,2,1,4,4,1,0,2,0.67,0.50,6,23,3.8,0.68
Jacob Toppin,24,NYK,SF,F,16,0,49,3,10,0.30,0,2,0,3,8,0.375,0,0,2,9,4,2,0,2,0.25,0.50,3,22.5,1.4,0.46
Colin Castleton,24,MEM,C,C,10,0,46,2,10,0.20,0,4,0,2,6,0.333,10,11,3,6,0,1,1,1,0.00,#DIV/0!,5,22,2.2,0.48
Isaiah Mobley,25,PHI,PF,F,1,0,17,2,7,0.29,1,3,0.333,1,4,0.25,1,2,1,3,5,1,1,0,5.00,0.00,17,21.5,21.5,1.26
Jacob Toppin,24,ATL,SF,F,1,0,27,6,12,0.50,5,8,0.625,1,4,0.25,0,0,1,3,2,0,0,1,2.00,0.50,27,20.5,20.5,0.76
Kevin McCullar Jr.,23,NYK,SF,F,4,0,29,2,7,0.29,0,1,0,2,6,0.333,2,2,0,8,2,1,1,0,0.50,0.00,7,19.5,4.9,0.67
Markieff Morris,35,DAL,PF,F,7,0,41,5,22,0.23,2,13,0.154,3,9,0.333,0,0,0,8,4,1,1,2,0.57,0.50,6,19.5,2.8,0.48
PJ Dozier,28,MIN,SG,G,9,0,35,2,3,0.67,2,3,0.667,0,0,,1,6,1,4,5,1,0,1,0.56,0.20,4,19.5,2.2,0.56
P.J. Tucker,39,NYK,SF,F,3,1,58,3,7,0.43,3,6,0.5,0,1,0,0,0,4,4,0,1,1,1,0.00,#DIV/0!,19,19,6.3,0.33
Miles Norris,24,BOS,PF,F,3,0,35,2,9,0.22,2,7,0.286,0,2,0,1,2,2,7,0,2,1,0,0.00,#DIV/0!,12,19,6.3,0.54
Liam Robbins,25,MIL,C,C,13,0,57,2,8,0.25,0,2,0,2,6,0.333,5,10,7,5,2,2,2,6,0.15,3.00,4,19,1.5,0.33
Tolu Smith,24,DET,PF,F,1,0,22,6,9,0.67,0,0,,6,9,0.667,2,3,4,4,0,0,0,2,0.00,#DIV/0!,22,18,18.0,0.82
Yuri Collins,23,GSW,PG,G,2,0,16,1,3,0.33,0,0,,1,3,0.333,0,0,2,1,4,2,0,0,2.00,0.00,8,17,8.5,1.06
David Roddy,23,HOU,PF,F,3,0,35,5,13,0.39,1,7,0.143,4,6,0.667,2,4,0,5,2,0,1,1,0.67,0.50,12,17,5.7,0.49
Phillip Wheeler,22,PHI,PF,F,5,0,44,3,21,0.14,0,10,0,3,11,0.273,2,2,2,6,2,1,2,1,0.40,0.50,9,16,3.2,0.36
Jack McVeigh,28,HOU,PF,F,9,0,43,5,17,0.29,4,13,0.308,1,4,0.25,0,0,2,3,1,0,2,2,0.11,2.00,5,16,1.8,0.37
MarJon Beauchamp,24,LAC,SF,F,3,0,17,4,7,0.57,2,3,0.667,2,4,0.5,2,4,2,1,2,0,0,1,0.67,0.50,6,15.5,5.2,0.91
Adama Sanogo,22,CHI,C,C,4,0,21,4,7,0.57,0,0,,4,7,0.571,0,0,5,1,1,0,0,1,0.25,1.00,5,15,3.8,0.71
Ulrich Chomche,19,TOR,PF,F,7,0,32,2,5,0.40,0,0,,2,5,0.4,1,2,4,4,2,0,1,2,0.29,1.00,5,15,2.1,0.47
James Johnson,37,IND,PF,F,12,0,37,4,11,0.36,0,3,0,4,8,0.5,0,1,0,6,4,0,2,4,0.33,1.00,3,14,1.2,0.38
Ron Harper Jr.,24,DET,SF,F,1,0,17,1,8,0.13,0,6,0,1,2,0.5,2,2,4,3,2,0,0,0,2.00,0.00,17,13.5,13.5,0.79
Taze Moore,26,POR,SG,G,2,0,20,2,10,0.20,1,4,0.25,1,6,0.167,1,2,4,4,1,2,0,2,0.50,2.00,10,13.5,6.8,0.68
Chuma Okeke,26,CLE,PF,F,2,0,25,2,7,0.29,1,6,0.167,1,1,1,0,0,1,3,2,0,1,0,1.00,0.00,13,13,6.5,0.52
Bones Hyland,24,MIN,PG,G,4,0,17,2,3,0.67,1,2,0.5,1,1,1,0,0,0,1,4,0,0,1,1.00,0.25,4,11.5,2.9,0.68
Patrick Baldwin Jr.,22,LAC,SF,F,2,0,6,2,2,1.00,2,2,1,0,0,,0,0,0,3,1,0,0,0,0.50,0.00,3,11,5.5,1.83
Anton Watson,24,NYK,SF,F,9,0,22,4,9,0.44,0,1,0,4,8,0.5,0,0,1,2,2,1,0,2,0.22,1.00,2,11,1.2,0.50
Jared Rhoden,25,CHO,SG,G,4,0,12,2,8,0.25,0,2,0,2,6,0.333,0,0,2,2,2,1,0,1,0.50,0.50,3,10,2.5,0.83
Trentyn Flowers,19,LAC,SF,F,6,0,27,4,11,0.36,0,2,0,4,9,0.444,3,3,1,3,0,0,0,1,0.00,#DIV/0!,5,10,1.7,0.37
Skal Labissière,28,SAC,PF,F,4,0,12,2,4,0.50,1,1,1,1,3,0.333,0,0,1,2,1,0,0,0,0.25,0.00,3,9.5,2.4,0.79
Bryce McGowens,22,POR,SG,G,13,0,32,4,14,0.29,0,4,0,4,10,0.4,5,6,2,1,2,1,0,4,0.15,2.00,2,9.5,0.7,0.30
Daniss Jenkins,23,DET,PG,G,7,0,23,3,10,0.30,1,7,0.143,2,3,0.667,0,2,0,2,3,0,0,1,0.43,0.33,3,8.5,1.2,0.37
Jalen Hood-Schifino,21,LAL,SG,G,2,0,14,1,1,1.00,0,0,,1,1,1,2,2,1,0,1,0,1,1,0.50,1.00,7,7.5,3.8,0.54
Reece Beekman,23,GSW,PG,G,2,0,4,1,1,1.00,0,0,,1,1,1,0,0,1,0,1,1,0,0,0.50,0.00,2,7.5,3.8,1.88
Alondes Williams,25,DET,SG,G,1,0,4,2,2,1.00,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1.00,0.00,4,7,7.0,1.75
Maxwell Lewis,22,LAL,SF,F,7,0,29,2,6,0.33,0,0,,2,6,0.333,0,0,2,0,2,1,0,2,0.29,1.00,4,7,1.0,0.24
Lester Quiñones,24,PHI,SG,G,4,0,17,4,8,0.50,0,3,0,4,5,0.8,1,1,3,1,1,0,0,4,0.25,4.00,4,6.5,1.6,0.38
Tristen Newton,23,2TM,SG,G,8,0,16,1,8,0.13,0,3,0,1,5,0.2,1,1,2,2,2,1,0,2,0.25,1.00,2,6.5,0.8,0.41
James Wiseman,23,IND,C,C,1,0,5,2,4,0.50,0,1,0,2,3,0.667,2,2,0,1,0,0,0,0,0.00,#DIV/0!,5,6,6.0,1.20
Mac McClung,26,ORL,SG,G,2,0,10,0,2,0.00,0,1,0,0,1,0,0,0,0,1,3,0,0,0,1.50,0.00,5,6,3.0,0.60
Tristen Newton,23,MIN,SG,G,3,0,8,0,2,0.00,0,0,,0,2,0,0,0,2,2,1,1,0,1,0.33,1.00,3,6,2.0,0.75
D.J. Carton,24,TOR,SG,G,4,0,33,1,7,0.14,0,3,0,1,4,0.25,1,1,0,4,3,2,0,4,0.75,1.33,8,6,1.5,0.18
Terry Taylor,25,SAC,PF,F,3,0,6,0,1,0.00,0,0,,0,1,0,0,0,1,0,2,0,0,0,0.67,0.00,2,5,1.7,0.83
Braxton Key,27,GSW,SF,F,3,0,11,0,4,0.00,0,1,0,0,3,0,3,6,1,1,0,2,0,1,0.00,#DIV/0!,4,4,1.3,0.36
Jalen McDaniels,27,WAS,SF,F,4,0,7,0,0,,0,0,,0,0,,0,0,0,0,1,1,0,0,0.25,0.00,2,4,1.0,0.57
Alex Reese,25,OKC,PF,F,1,0,2,1,1,1.00,0,0,,1,1,1,0,0,1,0,0,0,0,0,0.00,#DIV/0!,2,3.5,3.5,1.75
Malevy Leons,25,OKC,SF,F,6,0,21,0,2,0.00,0,1,0,0,1,0,2,4,1,2,1,0,0,1,0.17,1.00,4,3.5,0.6,0.17
Jahlil Okafor,29,IND,C,C,1,0,3,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,1.00,0.00,3,3,3.0,1.00
Isaiah Stevens,24,MIA,PG,G,3,0,6,0,2,0.00,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0.00,#DIV/0!,2,3,1.0,0.50
Jaylen Martin,21,BRK,SF,F,3,0,5,1,2,0.50,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.00,#DIV/0!,2,2.5,0.8,0.50
Terence Davis,27,SAC,SG,G,1,0,8,0,2,0.00,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1.00,0.00,8,2,2.0,0.25
Jesse Edwards,24,MIN,C,C,2,0,5,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0.50,0.00,3,2,1.0,0.40
Daishen Nix,22,MIN,PG,G,3,0,13,0,1,0.00,0,1,0,0,0,,1,2,0,4,3,0,0,4,1.00,1.33,4,2,0.7,0.15
Jalen Bridges,23,PHO,SF,F,8,0,30,2,7,0.29,2,7,0.286,0,0,,3,4,0,4,0,0,0,4,0.00,#DIV/0!,4,2,0.3,0.07
Riley Minix,24,SAS,SF,F,1,0,7,0,1,0.00,0,1,0,0,0,,0,0,0,2,0,0,0,0,0.00,#DIV/0!,7,1.5,1.5,0.21
Cole Swider,25,DET,SF,F,2,0,13,0,5,0.00,0,5,0,0,0,,0,0,0,2,1,0,0,0,0.50,0.00,7,1.5,0.8,0.12
Cui Yongxi,21,BRK,SG,G,5,0,10,1,7,0.14,0,3,0,1,4,0.25,1,2,0,2,0,0,0,0,0.00,#DIV/0!,2,1.5,0.3,0.15
Quincy Olivari,23,LAL,PG,G,2,0,10,1,5,0.20,1,5,0.2,0,0,,0,0,0,0,1,0,0,1,0.50,1.00,5,1,0.5,0.10
Tristen Newton,23,IND,SG,G,5,0,8,1,6,0.17,0,3,0,1,3,0.333,1,1,0,0,1,0,0,1,0.20,1.00,2,0.5,0.1,0.06
Zyon Pullin,23,MEM,SG,G,3,0,3,0,1,0.00,0,0,,0,1,0,0,0,0,0,0,0,0,0,0.00,#DIV/0!,1,-0.5,-0.2,-0.17
Vasilije Micić,31,PHO,PG,G,5,0,21,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,3,0.20,3.00,4,-2,-0.4,-0.10